pid,label,site_name,occupied,collection_number,material,description,motifs,teeth,fragmentation,context_type,gender,age,placement,length (cm),width (cm),order,layout,collection,thumbnail,full,manifest
153,Ganondagan,Ganondagan,1670-1687,RMSC 547/103,bone,73. Complete comb in andouiller. The handle is carved with two stylized tosange-shaped heads. The base is incised with chevrons and horizontal lines. 11 has a length of ] lJ cm and a width of 7.5 cm. It has 9 teeth that form 63% of its height. This comb comes from Boughton Hill a Seneca site dating from 1670-1687 AD. J.-C. where he was found in a dump. (RMSC 547/103). (Kroup et al. 1986: 34,human; dual; symmetrical;,9,complete,refuse,,,,11.1,7.5,152,qatar_item,combs,"/img/derivatives/iiif/images/153/full/250,/0/default.jpg","/img/derivatives/iiif/images/153/full/1140,/0/default.jpg",/img/derivatives/iiif/153/manifest.json
154,Ganondagan,Ganondagan,1670-1687,RMSC 6309/103,bone,"74. Almost complete comb some teeth are broken. On his handle we find the theme of the ""colossus"": a human character in the center seeming to fight with two animals indeterminate but larger than him on each side. The eyes and mouth of the central character are formed by punctuations. Many incised lines are found on the character and base; on animals are spiritual lines that go from the heart to the mouth. It has 16 teeth that account for 22% of its total length. It is 13 cm long and 5.8 cm wide. It comes from the seneca village Boughton Hill dating from 1670-1687 AD. J.-C. (RMSC 6309/103). (Kroup et al. 1986: 34",human; single; mammal; dual;,16,complete,unk,,,,13,5.8,153,qatar_item,combs,"/img/derivatives/iiif/images/154/full/250,/0/default.jpg","/img/derivatives/iiif/images/154/full/1140,/0/default.jpg",/img/derivatives/iiif/154/manifest.json
155,Ganondagan,Ganondagan,1670-1687,RMSC 393/103,bone,75. Incomplete comb. Its handle is carved and depicts an animal perhaps a beaver or an otter holding a snake on each side all framed by an arch. Incisions on the base pursue the tail of the animal and snakes. It has a length of 12.3 cm and a width of 4 cm. It has 13 teeth that form 36% of its total length. It comes from the Seneca Boughton Hill site dating from J 670-1687 AD. J.-C. (RMSC 393/103). (Kroup et al. 1986: 35,mammal; beaver; otter; snake; animal; arbor; symmetrical; single; dual;,13,incomplete,unk,,,,12.3,4,154,qatar_item,combs,"/img/derivatives/iiif/images/155/full/250,/0/default.jpg","/img/derivatives/iiif/images/155/full/1140,/0/default.jpg",/img/derivatives/iiif/155/manifest.json
156,Ganondagan,Ganondagan,1670-1687,RMSC 43448/103,bone,76. Full comb. Its handle is carved and represents a bird and a dog superimposed separated by a bar. It has a length of 13 cm and a width of 5.8 cm. Its 25 teeth form 29% of the total length of the comb. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 43448/103). (Kroup et al. 1986: 35).,mammal; bird; dog; single; dual;,25,complete,unk,,,,13,5.8,155,qatar_item,combs,"/img/derivatives/iiif/images/156/full/250,/0/default.jpg","/img/derivatives/iiif/images/156/full/1140,/0/default.jpg",/img/derivatives/iiif/156/manifest.json
157,Ganondagan,Ganondagan,1670-1687,RMSC 12001/103,bone,77. Complete comb in andouiller. His handle is carved to represent a man on horseback whose facial features are incised. Its base is decorated with incised braces. It has 24 teeth several of which have been glued together the proportion of which is 30% of the total length of the comb. It measures 11.8 cm in length and 6 cm in width. It comes from the seneca site of Boughton Hill dating from 1670-1687 AD. J.-C. (RMSC 12001/103). (Koup et al. 1987: 38,human; horse; single;,24,complete,unk,,,,11.8,6,156,qatar_item,combs,"/img/derivatives/iiif/images/157/full/250,/0/default.jpg","/img/derivatives/iiif/images/157/full/1140,/0/default.jpg",/img/derivatives/iiif/157/manifest.json
158,Ganondagan,Ganondagan,1670-1687,RMSC 153/103,bone,79. Incomplete comb in moose andouiller. Its handle is carved with the effigy of a man on horseback possibly Wentworth Greenhalg or one of his companions. It has a length of 11.5 cm and a maximum width of 6 cm. 11 has 25 teeth the proportion of which is 35% of its total length. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 153/103). (Bonvillain 1980: 99,human; horse; single;,25,incomplete,unk,,,,11.5,6,157,qatar_item,combs,"/img/derivatives/iiif/images/158/full/250,/0/default.jpg","/img/derivatives/iiif/images/158/full/1140,/0/default.jpg",/img/derivatives/iiif/158/manifest.json
159,Ganondagan,Ganondagan,1670-1687,RMSC 2 183/103,bone,80. Almost complete comb some teeth are broken and glued back. Are handle is carved and represents two beavers facing each other separated by a wide hourglass-shaped stud which is perforated for suspension at the top. Punctuations decorate the perimeter of the upright. It has 18 teeth that form 34% of the total length of the comb. It measures 9.5 cm in length and 5.2 cm in width. This comb comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 2 183/103). (Kroup et al. 1986: 33,mammal; beaver; dual; column; hourglass; symmetrical;,18,complete,unk,,,,9.5,5.2,158,qatar_item,combs,"/img/derivatives/iiif/images/159/full/250,/0/default.jpg","/img/derivatives/iiif/images/159/full/1140,/0/default.jpg",/img/derivatives/iiif/159/manifest.json
160,Ganondagan,Ganondagan,1670-1687,RMSC 1869/103,bone,192. Incomplete comb in andouiller. The handle is triangular in shape with a perforation at the top. The teeth are all broken. Its width is 5.7 cm and its residual length is about 7 cm. It comes from the Boughton Hill site seneca site dating from 1670-1687 AD. J.-C. (RMSC 1869/103,triangular;,,incomplete,unk,,,,7,5.7,159,qatar_item,combs,"/img/derivatives/iiif/images/160/full/250,/0/default.jpg","/img/derivatives/iiif/images/160/full/1140,/0/default.jpg",/img/derivatives/iiif/160/manifest.json
161,Ganondagan,Ganondagan,1670-1687,RMSC 2381/103,bone,226. fragments of a horse effigy probably on the handle of a comb. This effigy was found in a dump at the site of Boughton Hill a Seneca village dating from 1670-1687 AD. J.-C. (RMSC 2381/103,horse; mammal; single;,,fragment,refuse,,,,,,160,qatar_item,combs,"/img/derivatives/iiif/images/161/full/250,/0/default.jpg","/img/derivatives/iiif/images/161/full/1140,/0/default.jpg",/img/derivatives/iiif/161/manifest.json
162,Ganondagan,Ganondagan,1670-1687,RMSC 548/103,bone,233. human figurine wearing a pointed hat presumably from a seneca comb from the boughton Hill site t 670-1687 AD. J.-C. (RMSC 548/103,human; european; hat; single;,,fragment,,,,,,,161,qatar_item,combs,"/img/derivatives/iiif/images/162/full/250,/0/default.jpg","/img/derivatives/iiif/images/162/full/1140,/0/default.jpg",/img/derivatives/iiif/162/manifest.json
163,Ganondagan,Ganondagan,1670-1687,RMSC 316/103,bone,234. human figurine presumably a European and base of a comb from the Seneca site of Boughton Hill 1670-1687 AD. J.-C. (RMSC 316/103,human; european; single;,,fragment,,,,,,,162,qatar_item,combs,"/img/derivatives/iiif/images/163/full/250,/0/default.jpg","/img/derivatives/iiif/images/163/full/1140,/0/default.jpg",/img/derivatives/iiif/163/manifest.json
164,Ganondagan,Ganondagan,1670-1687,RMSC 500/103,bone,254. Full comb. Its handle is decorated with four carved busts triangular in shape. The heads are largely missing. Three perforations separate the necks of the characters. The base of the comb and the bodies are incised with crossed lines. Green spots are found on the surface of the comb. It has 16 teeth that form 45% of its height. It has a length of 8.5 cm and a width of 4.8 cm. This comb comes from the Boughton Hill site a Seneca village occupied from 1670 to 1687 AD. J.-C. (RMSC 500/103,human; quadruple; triangular; bust;,16,complete,unk,,,,8.5,4.8,163,qatar_item,combs,"/img/derivatives/iiif/images/164/full/250,/0/default.jpg","/img/derivatives/iiif/images/164/full/1140,/0/default.jpg",/img/derivatives/iiif/164/manifest.json
165,Ganondagan,Ganondagan,1670-1687,RMSC 5000/103,bone,267. Full comb. Its carved handle depicts two Europeans standing in a canoe holding together what appears to be a fork in an arch. This comb has 21 teeth that form 37% of its total length. It has a length of 12 cm and a width of 8.1 cm. It comes from Boughton Hill a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 5000/103,human; european; dual; canoe; column; arbor;,21,complete,unk,,,,12,8.1,164,qatar_item,combs,"/img/derivatives/iiif/images/165/full/250,/0/default.jpg","/img/derivatives/iiif/images/165/full/1140,/0/default.jpg",/img/derivatives/iiif/165/manifest.json
166,Ganondagan,Ganondagan,1670-1687,RMSC 154/103,bone,268. Incomplete comb. Its handle is scuLpté and represents two Europeans side by side. Facial features and jacket buttons are represented by punctuations. He seems to have had about twenty teeth very damaged. It comes from the Seneca Boughton Hill site dated to 1670-1687 AD. J.-C. (RMSC 154/103,human; european; dual;,20,incomplete,unk,,,,,,165,qatar_item,combs,"/img/derivatives/iiif/images/166/full/250,/0/default.jpg","/img/derivatives/iiif/images/166/full/1140,/0/default.jpg",/img/derivatives/iiif/166/manifest.json
167,Ganondagan,Ganondagan,1670-1687,RMSC 6505/103,bone,"269. Comb in andouiller incomplete. Its handle is carved with four animal effigies perhaps bears indeed it< double mirror"". The animals of each of the pairs are separated by a double pillar extension of the legs. A ring was carved for the suspension of the comb. He had more than 23 teeth all broken. It has a residual length and width of about $cm. It was found at the site of Boughton Hill a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 6505/103",mammal; bear; quadruple; symmetrical; column;,23,incomplete,unk,,,,,,166,qatar_item,combs,"/img/derivatives/iiif/images/167/full/250,/0/default.jpg","/img/derivatives/iiif/images/167/full/1140,/0/default.jpg",/img/derivatives/iiif/167/manifest.json
168,Ganondagan,Ganondagan,1670-1687,RMSC 2273/103,bone,284. Comb in andouiller incomplete. The carved handle depicts two birds facing each other possibly herons whose heads are broken separated by a stud. The body of birds is incised of various lines probably representing wings and feathers. The base and amount of the comb are also incised. He had more than 20 teeth most of which are broken. It has a residual length of 11 cm and a width of 6.4 cm. Traces of copper sulphites are visible on the comb. It comes from the site of Boughton Hill dating from 1670-1687 AD. J.-C. (RMSC 2273/103,bird; dual; heron; symmetrical; column;,20,complete,unk,,,,11,6.4,167,qatar_item,combs,"/img/derivatives/iiif/images/168/full/250,/0/default.jpg","/img/derivatives/iiif/images/168/full/1140,/0/default.jpg",/img/derivatives/iiif/168/manifest.json
169,Ganondagan,Ganondagan,1670-1687,RMSC 2274/103,bone,289. Incomplete comb. Its carved handle depicts two effigies of birds facing each other whose heads are broken. The base is incised with a horizontal line and chevrons. 11 has 21 teeth. It has a residual length of 10.4 cm and a width of 6 cm. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 2274/103,bird; dual; symmetrical;,21,incomplete,unk,,,,10.4,6,168,qatar_item,combs,"/img/derivatives/iiif/images/169/full/250,/0/default.jpg","/img/derivatives/iiif/images/169/full/1140,/0/default.jpg",/img/derivatives/iiif/169/manifest.json
170,Ganondagan,Ganondagan,1670-1687,RMSC 6323/103,bone,293. Incomplete comb in andouiller probably broken in two. The head of the effigy — a bird — is also missing. He has 7 teeth left. The body of the bird is decorated with incised crossed lines representing feathers. The base is incised with horizontal lines and chevrons. It has a residual length of 4.9 cm and a residual width of 2.1 cm. It comes from the Seneca site of Boughton F1111 dating from 1670-1690 AD (RMSC 6323/103,bird; single;,7,incomplete,unk,,,,4.9,2.1,169,qatar_item,combs,"/img/derivatives/iiif/images/170/full/250,/0/default.jpg","/img/derivatives/iiif/images/170/full/1140,/0/default.jpg",/img/derivatives/iiif/170/manifest.json
171,Ganondagan,Ganondagan,1670-1687,RMSC 632/103,bone,297. Complete comb in andouiller decorated with two bears facing each other. It measures 5.5 cm in length and 4 cm in width. Its 22 teeth form 36% of the comb. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 632/l03)(Kroup et al. 1986: 33,mammal; bear; dual; symmetrical;,22,complete,unk,,,,5.5,4,170,qatar_item,combs,"/img/derivatives/iiif/images/171/full/250,/0/default.jpg","/img/derivatives/iiif/images/171/full/1140,/0/default.jpg",/img/derivatives/iiif/171/manifest.json
172,Ganondagan,Ganondagan,1670-1687,RMSC 2272/103,bone,313. Incomplete comb in andouiller. The carved handle depicts two mammals facing each other separated by a stud. The base of the comb and its effigies bear incisions the eyes and mouth of the animal are engraved. Traces of copper are visible on the comb. It measures about 12.2 cm in length by 5.3 cm in width. Its teeth probably 24 or more in number form 30% of the total length of the comb. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 2272/103,mammal; dual; column; symmetrical;,24,incomplete,unk,,,,12.2,5.3,171,qatar_item,combs,"/img/derivatives/iiif/images/172/full/250,/0/default.jpg","/img/derivatives/iiif/images/172/full/1140,/0/default.jpg",/img/derivatives/iiif/172/manifest.json
173,Ganondagan,Ganondagan,1670-1687,RMSC 6311/103,bone,314. Complete comb of which however the 18 teeth have been glued. The handle is carved to form two cougars facing each other. The eyes and mouths of animals are engraved. The comb is about 10.1 cm high and 4.6 cm wide. Its teeth form 28% of its total length. It comes from a burial (#19) at the Boughton Hill site a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 6311/103),mammal; dual; symmetrical; panther;,18,complete,funerary,,,,10.1,4.6,172,qatar_item,combs,"/img/derivatives/iiif/images/173/full/250,/0/default.jpg","/img/derivatives/iiif/images/173/full/1140,/0/default.jpg",/img/derivatives/iiif/173/manifest.json
174,Ganondagan,Ganondagan,1670-1687,RMSC 74/103,bone,319. Complete comb the handle of which is carved with the effigy of two otters facing each other separated by a large hourglass-shaped pillar. This amount is decorated with punctuation around the perimeter as well as the back of the animals. The eyes are also indicated by punctuation. Incisions in the shape of xl triangles hourglasses and arrows are incised on the surface of the comb. This comb has 20 teeth that form 35% of its total length. It measures about 9.2 cm in length by 4.5 cm in width. This comb of Seneca origin comes from the upheaval of the boughton Hill site dated 1670-1687 AD. J.-C. (RMSC 74/103). (Wray 1963-41,mammal; dual; otter; column; symmetrical;,20,complete,unk,,,,9.2,4.5,173,qatar_item,combs,"/img/derivatives/iiif/images/174/full/250,/0/default.jpg","/img/derivatives/iiif/images/174/full/1140,/0/default.jpg",/img/derivatives/iiif/174/manifest.json
175,Ganondagan,Ganondagan,1670-1687,RMSC 155/1 03,bone,322. Incomplete comb with all teeth broken. The handle is carved to represent two beavers placed symmetrically in an arch separated by a central pillar. It has a residual length of about 5.7 cm and a residual width of about 4.6 cm. It was found in a burial (#13) at the Boughton Hill site a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 155/1 03,mammal; beaver; dual; arbor; column; symmetrical;,,incomplete,funerary,,,,5.7,4.6,174,qatar_item,combs,"/img/derivatives/iiif/images/175/full/250,/0/default.jpg","/img/derivatives/iiif/images/175/full/1140,/0/default.jpg",/img/derivatives/iiif/175/manifest.json
176,Ganondagan,Ganondagan,1670-1687,RMSC 2184/103,bone,323. Incomplete comb whose carved handle depicts two mammals face to face separated by a stud. The body of the animals is decorated with a line of perforations. Their mouths are incised. The base of the comb is perforated with eight holes. He had 19 teeth which form 25% of the total height of the comb. It is about 9.2 cm long and 4.5 cm wide. It comes from the Seneca Site Boughton Hill dated 1670-1687 AD. J.-C. (RMSC 2184/103,mammal; dual; column;,19,incomplete,unk,,,,9.2,4.5,175,qatar_item,combs,"/img/derivatives/iiif/images/176/full/250,/0/default.jpg","/img/derivatives/iiif/images/176/full/1140,/0/default.jpg",/img/derivatives/iiif/176/manifest.json
177,Ganondagan,Ganondagan,1670-1687,RMSC 6324/103,bone,332. Effigy that was to adorn a comb. It represents an animal whose head is turned outwards. Spiritual lines are present on the body of the animal. It comes from a dump at the Boughton Hill site a Seneca site dated to 1670-1687 AD. J.-C. (RMSC 6324/103,mammal; single;,,fragment,refuse,,,,,,176,qatar_item,combs,"/img/derivatives/iiif/images/177/full/250,/0/default.jpg","/img/derivatives/iiif/images/177/full/1140,/0/default.jpg",/img/derivatives/iiif/177/manifest.json
178,Ganondagan,Ganondagan,1670-1687,RMSC 6506/103,bone,341. Almost complete comb in andouiller the animal effigy that adorns the handle is a little damaged. This profile animal is indeterminate. It has 17 teeth on which we see traces of copper oxide. It has a length of 9 cm and a width of 4.9 cm. Its teeth form 37% of its total length. It comes from the Boughton Hill site a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 6506/103),mammal; single;,17,complete,unk,,,,9,4.9,177,qatar_item,combs,"/img/derivatives/iiif/images/178/full/250,/0/default.jpg","/img/derivatives/iiif/images/178/full/1140,/0/default.jpg",/img/derivatives/iiif/178/manifest.json
179,Ganondagan,Ganondagan,1670-1687,RMSC 342/103,bone,342. Incomplete comb. Its handle is carved with an effigy of a wolf or dog. The body of the animal is decorated with incised lines that make it like stripes. The base of the handle is decorated with a complex pattern of oblique incised lines between two horizontal lines punctuations and chevrons. He has 10 teeth left he had to have at least twice as many and these form 50% of the total length of the comb. It is 10.2 cm long and has a residual width of 5.1 cm. It comes from a funerary context (burial 55). It was found at the Boughton Hill site a Seneca site dating from 1670-1687 AD. (RMSC 342/103,mammal; single; wolf;,10,incomplete,funerary,,,,10.2,5.1,178,qatar_item,combs,"/img/derivatives/iiif/images/179/full/250,/0/default.jpg","/img/derivatives/iiif/images/179/full/1140,/0/default.jpg",/img/derivatives/iiif/179/manifest.json
180,Ganondagan,Ganondagan,1670-1687,RMSC 6322/103,bone,348. Complete comb in andouiller. Its handle is carved with the effigy of an indeterminate animal in profile. It has 13 teeth that form 54% of its total height. This comb has a length of 4.2 cm and a width of 2.8 cm. It was found at the Boughton Hill site a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 6322/103,mammal; single;,13,complete,unk,,,,4.2,2.8,179,qatar_item,combs,"/img/derivatives/iiif/images/180/full/250,/0/default.jpg","/img/derivatives/iiif/images/180/full/1140,/0/default.jpg",/img/derivatives/iiif/180/manifest.json
181,Ganondagan,Ganondagan,1670-1687,RMSC 1750/103,bone,361. andouiller comb fragment It probably had 16 teeth. It comes from a dump in the woods near the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 1750/103,none;,16,fragment,refuse,,,,,,180,qatar_item,combs,"/img/derivatives/iiif/images/181/full/250,/0/default.jpg","/img/derivatives/iiif/images/181/full/1140,/0/default.jpg",/img/derivatives/iiif/181/manifest.json
182,Ganondagan,Ganondagan,1670-1687,RMSC 12027/103,bone,362. fragment of andouiller comb from the Seneca Boughton Hill site dated to 1670-1687 AD. J.-C. (RMSC 12027/103,none;,,fragment,unk,,,,,,181,qatar_item,combs,"/img/derivatives/iiif/images/182/full/250,/0/default.jpg","/img/derivatives/iiif/images/182/full/1140,/0/default.jpg",/img/derivatives/iiif/182/manifest.json
183,Ganondagan,Ganondagan,1670-1687,RMSC 775/103,bone,364. comb fragment. It has 12 teeth left and its base is decorated with chevrons between two horizontal lines. It comes from the Seneca Boughton Hill site dating from 1670 to 1687 AD. J.-C. (RMSC 775/103,none;,12,fragment,unk,,,,,,182,qatar_item,combs,"/img/derivatives/iiif/images/183/full/250,/0/default.jpg","/img/derivatives/iiif/images/183/full/1140,/0/default.jpg",/img/derivatives/iiif/183/manifest.json
184,Ganondagan,Ganondagan,1670-1687,RMSC 1262/103,bone,365. Six fragments of andouiller comb. Its handle has three perforations. It comes from the Seneca Boughton Hill site dating from 1670 to 1687 AD. J.-C. (RMSC 1262/103,none;,,fragment,unk,,,,,,183,qatar_item,combs,"/img/derivatives/iiif/images/184/full/250,/0/default.jpg","/img/derivatives/iiif/images/184/full/1140,/0/default.jpg",/img/derivatives/iiif/184/manifest.json
185,Ganondagan,Ganondagan,1670-1687,RMSC 2 133/103,bone,382. Piece of andouiller being probably a draft comb. It measures 16.2 cm by 4.9 cm. It comes from the seneca site of Boughton Hill dating from 1670 to 1687 AD. J.-C. (RMSC 2 133/103,none;,,draft,unk,,,,16.2,4.9,184,qatar_item,combs,"/img/derivatives/iiif/images/185/full/250,/0/default.jpg","/img/derivatives/iiif/images/185/full/1140,/0/default.jpg",/img/derivatives/iiif/185/manifest.json
186,Ganondagan,Ganondagan,1670-1687,RMSC 1866/103,bone,383. Comb blank measuring 13.2 cm by 6.7 cm. It comes from the Seneca Boughton Hill site dated from 1670 to 1687 AD. J.-C. (RMSC 1$66/103,none;,,blank,unk,,,,13.2,6.7,185,qatar_item,combs,"/img/derivatives/iiif/images/186/full/250,/0/default.jpg","/img/derivatives/iiif/images/186/full/1140,/0/default.jpg",/img/derivatives/iiif/186/manifest.json
187,Ganondagan,Ganondagan,1670-1687,RMSC 2122/103,bone,384. Comb blank measuring 8.1 cm by 3.9 cm. It comes from the Seneca Boughton Hill site dated from 1670 to 1687 AD (RMSC 2122/103,none;,,blank,unk,,,,8.1,3.9,186,qatar_item,combs,"/img/derivatives/iiif/images/187/full/250,/0/default.jpg","/img/derivatives/iiif/images/187/full/1140,/0/default.jpg",/img/derivatives/iiif/187/manifest.json
188,Ganondagan,Ganondagan,1670-1687,RMSC 6326/103,bone,421. Two fragments of a wooden double-dentition comb. Its teeth are thinner on one side than on the other. It comes from a burial (#9) at the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (RMSC 6326/103,none;,,fragment,funerary,,,,,,187,qatar_item,combs,"/img/derivatives/iiif/images/188/full/250,/0/default.jpg","/img/derivatives/iiif/images/188/full/1140,/0/default.jpg",/img/derivatives/iiif/188/manifest.json
189,Ganondagan,Ganondagan,1670-1687,RMSC 6504/103,bone,422. Incomplete double dentition comb in bone. Its base is decorated with braces between two horizontal lines. It has a perforation at one end. It has a length of 4.6 cm and a width of 6.2 cm. It comes from the Seneca Site Boughton Hill dated 1670-1687 AD. J.-C. (RMSC 6504/103,none;,,incomplete,unk,,,,4.6,6.2,188,qatar_item,combs,"/img/derivatives/iiif/images/189/full/250,/0/default.jpg","/img/derivatives/iiif/images/189/full/1140,/0/default.jpg",/img/derivatives/iiif/189/manifest.json
190,Ganondagan,Ganondagan,1670-1687,RMSC 229/103,bone,430. double-dentition comb fragment. Its teeth are more fmes on one side than on the other. It comes from the Seneca Site Boughton Hill dated 1670-1687 AD. J.-C. (RMSC 229/103),none;,,complete,unk,,,,,,189,qatar_item,combs,"/img/derivatives/iiif/images/190/full/250,/0/default.jpg","/img/derivatives/iiif/images/190/full/1140,/0/default.jpg",/img/derivatives/iiif/190/manifest.json
191,Kirkwood,Kirkwood,1670-1687,RMSC 156/27,bone,225. Incomplete and unfinished comb in andouiller. Its partially carved handle depicts a human being on a horse. It had 23 teeth forming 28% of its total length. It measures 11.5 cm in length and 7.9 cm in width. it comes from the Seneca Kirkwood site dating from 1670-1687 AD. J.-C. (RMSC 156/27,human; horse; single;,23,incomplete,unk,,,,11.5,7.9,190,qatar_item,combs,"/img/derivatives/iiif/images/191/full/250,/0/default.jpg","/img/derivatives/iiif/images/191/full/1140,/0/default.jpg",/img/derivatives/iiif/191/manifest.json
192,Kirkwood,Kirkwood,1670-1687,RMSC 154/27,bone,"265. Almost complete comb in andouiller. On its handle is depicted a human being in the position of an eagle deployed in an arch. Facial features are represented by incisions and a double ""V"" is incised on the character's chest. It has 19 teeth that form 34% of its total height. It measures 10.4 cm in length and 4.9 cm in width. It comes from the Seneca Kirkwood site dating from 1670-1687 AD. J.-C. (RMSC 154/27",human; hocker; single; arbor; symmetrical;,19,complete,unk,,,,10.4,4.9,191,qatar_item,combs,"/img/derivatives/iiif/images/192/full/250,/0/default.jpg","/img/derivatives/iiif/images/192/full/1140,/0/default.jpg",/img/derivatives/iiif/192/manifest.json
193,Kirkwood,Kirkwood,1670-1687,RMSC 155/27,bone,266. Incomplete comb in andouiller. Its handle is carved and decorated with two wolves side by side in the position of eagle with outstretched wings in an arch. Spiritual lines are present on the animals and the base of the comb is incised. This comb had more than 1$ teeth which represent 30% of its total xxxv length. It is about 11.1 cm long and its width is incomplete. It comes from the seneca site of Kfrkwood dating from 1670-1687 AD. (RMSC 155/27,wolf; mammal; dual; hocker; arbor; symmetrical;,18,incomplete,unk,,,,11.1,,192,qatar_item,combs,"/img/derivatives/iiif/images/193/full/250,/0/default.jpg","/img/derivatives/iiif/images/193/full/1140,/0/default.jpg",/img/derivatives/iiif/193/manifest.json
194,Markham-Puffer,Markham-Puffer,1670-1687,RMSC 156/t,bone,262. Almost complete comb. Its carved handle depicts a European Trickster holding a bird in each hand. The features of the face clothes and hat are incised. The eyes of birds are represented by punctuations. It measures 9.7 cm in length and 5.5 cm in width. It has 24 teeth that form 385 of its total length. It comes from a burial of an adult man where it was placed behind the head (or was in the hair of the deceased). It was found at the Seneca site of Markham-Puffer dating from 1670-1687 AD. J.-C. (RMSC 156/t). (Wray 1963: 41,human; european; single; sojasko; bird; dual; symmetrical;,24,complete,funerary,male,adult,head,9.7,5.5,193,qatar_item,combs,"/img/derivatives/iiif/images/194/full/250,/0/default.jpg","/img/derivatives/iiif/images/194/full/1140,/0/default.jpg",/img/derivatives/iiif/194/manifest.json
195,Rochester Junction,Rochester Junction,1670-1687,RMSC 734/29,bone,"56. Complete comb having 25 teeth. The carved handle depicts 3 humans in the ""spread eagle"" position the Elder Brothers of the League of Iroquois: Mohawks Seneca Onondaga as well as two wolves back to back head turned inwards at the top of the handle separated from the humans by a bar. On the base of the handle there are two engraved birds facing each other inside diamonds. It has 25 teeth that xvii form 30% of its height. It is 11.8 cm long and 8.3 cm wide. This is a comb of Seneca origin from the Rochester Junction site 1670-1690 AD (RMSC 734/29",human; triple; hocker; wolf; dual; symmetrical; mammal;,25,complete,unk,,,,11.8,8.3,194,qatar_item,combs,"/img/derivatives/iiif/images/195/full/250,/0/default.jpg","/img/derivatives/iiif/images/195/full/1140,/0/default.jpg",/img/derivatives/iiif/195/manifest.json
196,Rochester Junction,Rochester Junction,1670-1687,,bone,144. Complete bone comb. The carved handle depicts two birds beaked to beaked. The eyes are made with the help of punctuation. It has 17 teeth that form 32% of its total length. It is of Seneca origin and was found at the Rochester Junction site 1670-1690 AD (Beauchamp 1902: 17,bird; dual; symmetrical;,17,complete,unk,,,,,,195,qatar_item,combs,"/img/derivatives/iiif/images/196/full/250,/0/default.jpg","/img/derivatives/iiif/images/196/full/1140,/0/default.jpg",/img/derivatives/iiif/196/manifest.json
197,Rochester Junction,Rochester Junction,1670-1687,RMSC 676/29,bone,202. Complete comb in andouiller. He has 13 teeth. Its rather rectangular shaped handle is partly carved but seems unfinished. It measures 9.8 cm in length and 4.5 cm in width. Its teeth form 3% of its total length. It comes from Rochester Junction (NY) a Seneca site dating from 1670-1690 AD.C. (RMSC 676/29,none;,13,complete,unk,,,,9.8,4.5,196,qatar_item,combs,"/img/derivatives/iiif/images/197/full/250,/0/default.jpg","/img/derivatives/iiif/images/197/full/1140,/0/default.jpg",/img/derivatives/iiif/197/manifest.json
198,Rochester Junction,Rochester Junction,1670-1687,RMSC 669/29,bone,203. Almost complete comb having 16 teeth three of which are broken. Its rectangular handle is decorated with incised patterns in the form of hourglasses. It measures 8.9 cm in length and 3.4 cm in width. Teeth account for 39% of the comb. It comes from Rochester Junction (NY) a Seneca site dating from 1670-1690 AD. J.-C. (RMSC 669/29,none;,16,complete,unk,,,,8.9,3.4,197,qatar_item,combs,"/img/derivatives/iiif/images/198/full/250,/0/default.jpg","/img/derivatives/iiif/images/198/full/1140,/0/default.jpg",/img/derivatives/iiif/198/manifest.json
199,Rochester Junction,Rochester Junction,1670-1687,RMSC AR 42654,bone,204. Comb in andouiller incomplete whose 14 teeth are all broken. The rectangular handle is not decorated and has a perforation in the top center (broken). 11 is about 8.4 cm long and 3.8 cm wide. It comes from Rochester Junction (NY) a Seneca site dating from 1670-1690 AD. J.-C. (RMSC AR 42654,none;,14,incomplete,unk,,,,11,8.4,198,qatar_item,combs,"/img/derivatives/iiif/images/199/full/250,/0/default.jpg","/img/derivatives/iiif/images/199/full/1140,/0/default.jpg",/img/derivatives/iiif/199/manifest.json
200,Rochester Junction,Rochester Junction,1670-1687,RMSC 87.00.30.1,bone,205. Incomplete double dentition comb. It is stained with blue. It has a length of 5.5 cm and a residual width of 4.9 cm. It comes from the seneca site Rochester Junction dated 1670-1690 AD. J.-C. (RMSC 87.00.30.1,none;,,incomplete,unk,,,,5.5,4.9,199,qatar_item,combs,"/img/derivatives/iiif/images/200/full/250,/0/default.jpg","/img/derivatives/iiif/images/200/full/1140,/0/default.jpg",/img/derivatives/iiif/200/manifest.json
